Date,Latitude,Longitude,Sea_Surface_Temperature,HotSpots,Degree_Heating_Weeks,Bleaching_Alert_Area
01/01/1985,24.750,-81.625,24.9600,0.0000,0.0000,0
01/02/1985,24.750,-81.625,24.9500,0.0000,0.0000,0
01/03/1985,24.750,-81.625,24.9800,0.0000,0.0000,0
01/04/1985,24.750,-81.625,24.6300,0.0000,0.0000,0
01/05/1985,24.750,-81.625,24.3500,0.0000,0.0000,0
01/06/1985,24.750,-81.625,24.7700,0.0000,0.0000,0
01/07/1985,24.750,-81.625,24.4100,0.0000,0.0000,0
01/08/1985,24.750,-81.625,24.2300,0.0000,0.0000,0
01/09/1985,24.750,-81.625,23.9500,0.0000,0.0000,0
01/10/1985,24.750,-81.625,23.7900,0.0000,0.0000,0
01/11/1985,24.750,-81.625,24.0400,0.0000,0.0000,0
01/12/1985,24.750,-81.625,23.8900,0.0000,0.0000,0
01/13/1985,24.750,-81.625,23.6300,0.0000,0.0000,0
01/14/1985,24.750,-81.625,23.5700,0.0000,0.0000,0
01/15/1985,24.750,-81.625,24.0700,0.0000,0.0000,0
01/16/1985,24.750,-81.625,24.5000,0.0000,0.0000,0
01/17/1985,24.750,-81.625,24.1700,0.0000,0.0000,0
01/18/1985,24.750,-81.625,23.8700,0.0000,0.0000,0
01/19/1985,24.750,-81.625,23.8100,0.0000,0.0000,0
01/20/1985,24.750,-81.625,23.6800,0.0000,0.0000,0
01/21/1985,24.750,-81.625,23.6200,0.0000,0.0000,0
01/22/1985,24.750,-81.625,23.3300,0.0000,0.0000,0
01/23/1985,24.750,-81.625,23.2000,0.0000,0.0000,0
01/24/1985,24.750,-81.625,23.5500,0.0000,0.0000,0
01/25/1985,24.750,-81.625,23.5000,0.0000,0.0000,0
01/26/1985,24.750,-81.625,23.5900,0.0000,0.0000,0
01/27/1985,24.750,-81.625,23.3400,0.0000,0.0000,0
01/28/1985,24.750,-81.625,23.7100,0.0000,0.0000,0
01/29/1985,24.750,-81.625,23.6200,0.0000,0.0000,0
01/30/1985,24.750,-81.625,23.5200,0.0000,0.0000,0
01/31/1985,24.750,-81.625,23.2500,0.0000,0.0000,0
02/01/1985,24.750,-81.625,23.8600,0.0000,0.0000,0
02/02/1985,24.750,-81.625,23.7800,0.0000,0.0000,0
02/03/1985,24.750,-81.625,24.1600,0.0000,0.0000,0
02/04/1985,24.750,-81.625,24.2100,0.0000,0.0000,0
02/05/1985,24.750,-81.625,24.3500,0.0000,0.0000,0
02/06/1985,24.750,-81.625,24.1900,0.0000,0.0000,0
02/07/1985,24.750,-81.625,24.1300,0.0000,0.0000,0
02/08/1985,24.750,-81.625,23.9500,0.0000,0.0000,0
02/09/1985,24.750,-81.625,23.7700,0.0000,0.0000,0
02/10/1985,24.750,-81.625,23.6000,0.0000,0.0000,0
02/11/1985,24.750,-81.625,23.4400,0.0000,0.0000,0
02/12/1985,24.750,-81.625,23.1600,0.0000,0.0000,0
02/13/1985,24.750,-81.625,23.2000,0.0000,0.0000,0
02/14/1985,24.750,-81.625,24.0700,0.0000,0.0000,0
02/15/1985,24.750,-81.625,23.9500,0.0000,0.0000,0
02/16/1985,24.750,-81.625,24.1200,0.0000,0.0000,0
02/17/1985,24.750,-81.625,23.7500,0.0000,0.0000,0
02/18/1985,24.750,-81.625,23.4300,0.0000,0.0000,0
02/19/1985,24.750,-81.625,22.9100,0.0000,0.0000,0
02/20/1985,24.750,-81.625,22.9500,0.0000,0.0000,0
02/21/1985,24.750,-81.625,23.3300,0.0000,0.0000,0
02/22/1985,24.750,-81.625,23.7600,0.0000,0.0000,0
02/23/1985,24.750,-81.625,24.1500,0.0000,0.0000,0
02/24/1985,24.750,-81.625,24.2100,0.0000,0.0000,0
02/25/1985,24.750,-81.625,24.4600,0.0000,0.0000,0
02/26/1985,24.750,-81.625,24.3600,0.0000,0.0000,0
02/27/1985,24.750,-81.625,24.2900,0.0000,0.0000,0
02/28/1985,24.750,-81.625,24.7500,0.0000,0.0000,0
03/01/1985,24.750,-81.625,24.6300,0.0000,0.0000,0
03/02/1985,24.750,-81.625,24.6500,0.0000,0.0000,0
03/03/1985,24.750,-81.625,24.9600,0.0000,0.0000,0
03/04/1985,24.750,-81.625,24.9900,0.0000,0.0000,0
03/05/1985,24.750,-81.625,25.0500,0.0000,0.0000,0
03/06/1985,24.750,-81.625,25.0500,0.0000,0.0000,0
03/07/1985,24.750,-81.625,24.9400,0.0000,0.0000,0
03/08/1985,24.750,-81.625,24.4900,0.0000,0.0000,0
03/09/1985,24.750,-81.625,24.3600,0.0000,0.0000,0
03/10/1985,24.750,-81.625,24.3700,0.0000,0.0000,0
03/11/1985,24.750,-81.625,24.6900,0.0000,0.0000,0
03/12/1985,24.750,-81.625,24.4600,0.0000,0.0000,0
03/13/1985,24.750,-81.625,24.4900,0.0000,0.0000,0
03/14/1985,24.750,-81.625,25.1100,0.0000,0.0000,0
03/15/1985,24.750,-81.625,25.2500,0.0000,0.0000,0
03/16/1985,24.750,-81.625,25.1200,0.0000,0.0000,0
03/17/1985,24.750,-81.625,25.0700,0.0000,0.0000,0
03/18/1985,24.750,-81.625,25.2200,0.0000,0.0000,0
03/19/1985,24.750,-81.625,24.6600,0.0000,0.0000,0
03/20/1985,24.750,-81.625,24.3600,0.0000,0.0000,0
03/21/1985,24.750,-81.625,24.4900,0.0000,0.0000,0
03/22/1985,24.750,-81.625,24.6800,0.0000,0.0000,0
03/23/1985,24.750,-81.625,24.8300,0.0000,0.0000,0
03/24/1985,24.750,-81.625,24.7500,0.0000,0.0000,0
03/25/1985,24.750,-81.625,24.7100,0.0000,0.0000,0
03/26/1985,24.750,-81.625,24.5600,0.0000,0.0000,0
03/27/1985,24.750,-81.625,24.4800,0.0000,0.0000,0
03/28/1985,24.750,-81.625,24.1000,0.0000,0.0000,0
03/29/1985,24.750,-81.625,24.2000,0.0000,0.0000,0
03/30/1985,24.750,-81.625,24.2800,0.0000,0.0000,0
03/31/1985,24.750,-81.625,24.8300,0.0000,0.0000,0
04/01/1985,24.750,-81.625,25.0700,0.0000,0.0000,0
04/02/1985,24.750,-81.625,24.6900,0.0000,0.0000,0
04/03/1985,24.750,-81.625,24.1700,0.0000,0.0000,0
04/04/1985,24.750,-81.625,24.4800,0.0000,0.0000,0
04/05/1985,24.750,-81.625,24.5000,0.0000,0.0000,0
04/06/1985,24.750,-81.625,24.8700,0.0000,0.0000,0
04/07/1985,24.750,-81.625,24.6500,0.0000,0.0000,0
04/08/1985,24.750,-81.625,24.7900,0.0000,0.0000,0
04/09/1985,24.750,-81.625,24.8700,0.0000,0.0000,0
04/10/1985,24.750,-81.625,24.7100,0.0000,0.0000,0
04/11/1985,24.750,-81.625,24.4400,0.0000,0.0000,0
04/12/1985,24.750,-81.625,24.3300,0.0000,0.0000,0
04/13/1985,24.750,-81.625,24.4600,0.0000,0.0000,0
04/14/1985,24.750,-81.625,24.4800,0.0000,0.0000,0
04/15/1985,24.750,-81.625,24.6600,0.0000,0.0000,0
04/16/1985,24.750,-81.625,25.1300,0.0000,0.0000,0
04/17/1985,24.750,-81.625,25.0800,0.0000,0.0000,0
04/18/1985,24.750,-81.625,24.9800,0.0000,0.0000,0
04/19/1985,24.750,-81.625,24.9300,0.0000,0.0000,0
04/20/1985,24.750,-81.625,25.1900,0.0000,0.0000,0
04/21/1985,24.750,-81.625,25.2700,0.0000,0.0000,0
04/22/1985,24.750,-81.625,25.2500,0.0000,0.0000,0
04/23/1985,24.750,-81.625,25.1200,0.0000,0.0000,0
04/24/1985,24.750,-81.625,25.3000,0.0000,0.0000,0
04/25/1985,24.750,-81.625,25.2700,0.0000,0.0000,0
04/26/1985,24.750,-81.625,25.1100,0.0000,0.0000,0
04/27/1985,24.750,-81.625,25.2300,0.0000,0.0000,0
04/28/1985,24.750,-81.625,25.2600,0.0000,0.0000,0
04/29/1985,24.750,-81.625,25.6000,0.0000,0.0000,0
04/30/1985,24.750,-81.625,25.7000,0.0000,0.0000,0
05/01/1985,24.750,-81.625,25.8800,0.0000,0.0000,0
05/02/1985,24.750,-81.625,25.9800,0.0000,0.0000,0
05/03/1985,24.750,-81.625,26.0200,0.0000,0.0000,0
05/04/1985,24.750,-81.625,26.5600,0.0000,0.0000,0
05/05/1985,24.750,-81.625,26.4500,0.0000,0.0000,0
05/06/1985,24.750,-81.625,26.3700,0.0000,0.0000,0
05/07/1985,24.750,-81.625,26.4400,0.0000,0.0000,0
05/08/1985,24.750,-81.625,26.5900,0.0000,0.0000,0
05/09/1985,24.750,-81.625,26.6500,0.0000,0.0000,0
05/10/1985,24.750,-81.625,26.7600,0.0000,0.0000,0
05/11/1985,24.750,-81.625,26.9500,0.0000,0.0000,0
